car density,bus density,flow rate
0.20822706481541253,0.14870563693499408,0.2806211999999993
0.4127364201556645,0.28170638726649644,0.3900163999999998
0.4929771052591384,0.0962562598871516,0.3426498000000011
0.7357930859302726,0.06912801110888103,0.35233059999999994
0.4328617366196502,0.09109760856782083,0.32610499999999976
0.977442257641585,0.006891151011731715,0.3484031999999993
0.5541130093362291,0.10147729352447099,0.35197119999999993
0.9093659191657147,0.015151278265841825,0.35019360000000005
0.6302006147118209,0.1362545891016767,0.36983239999999973
0.3580591687871537,0.21295119701360796,0.38939180000000123
0.06960738772856156,0.19258943383179292,0.24623720000000013
0.6219217554268599,0.11423779511693087,0.3569312000000003
0.059028527076109394,0.14215580181906257,0.19270779999999968
0.9446589558693875,0.0018213088777080293,0.3468023999999989
0.8771134076209541,0.01586202902392352,0.34915079999999865
0.43182475408691323,0.12876232976665736,0.3485932000000002
0.6450433718268481,0.1581726007736387,0.3668538000000003
0.6022511868870034,0.026921789651462535,0.3288546000000006
0.5061367406643612,0.0668387553574673,0.32819799999999977
0.27406704712523744,0.093695160987086,0.2640941999999996
