density,times
0.19579225970736966,517
0.9543202925023248,5067
0.3088916331796411,1096
0.13282364675597735,526
0.11578677668269459,391
0.06637491850428975,272
0.5300036844948187,1433
0.11389119779660244,368
0.9203817954668735,4738
0.21804559110691002,595
0.6859769298106368,3256
0.7691763401468121,3542
0.9779292596194881,5002
0.09334509031438995,295
0.739088729998219,3437
0.8155639466917852,3873
0.48454027132867533,1128
0.9952623114430652,5151
0.2897514115645224,725
0.23300071324055902,824
0.0629661470088068,261
0.5946817379794888,1408
0.7606845548557728,3487
0.2213367086312615,683
0.7481810973742706,3451
0.5551414024718363,1360
0.9553614709119838,5009
0.9142259172628573,4678
0.7300460362219289,3313
0.6537359815993042,2890
0.7644089594638035,3560
0.4693095462575671,2223
0.9415942980404381,4718
0.8957412195877075,4471
0.43298864647982427,1960
0.039495507135300124,327
0.7994775073909485,3625
0.8230801503483014,4003
0.7442013814661276,3428
0.46156838685694085,2123
0.37650850918980416,918
0.46208534825673275,2103
0.15672554114466924,456
0.7326697996271833,3348
0.9175418041958998,4690
0.7300498721383233,3386
0.5726716916452405,2311
0.3846057778566716,1767
0.8720269592379547,4292
0.4905693930720178,1174
0.8917407858280445,4489
0.4404930416969409,1002
0.5807862583321273,2587
0.04820107769759788,220
0.7058365778535615,3333
0.7421269098404412,3500
0.7184504068157063,3202
0.06780695492485218,270
0.17805245149095625,923
0.11033182480060993,367
0.6967683461624107,3068
0.21360205176794295,674
0.3737983873809284,1562
0.8266174746587913,4046
0.6575320241337482,2974
0.3203505432313264,795
0.47776639910532115,1122
0.891307914871435,4487
0.9177103707318843,4677
0.5355166834240483,2413
0.47749859938508055,1670
0.04238451652352239,229
0.06908612068071031,270
0.3542139425845902,846
0.8894362291386646,4559
0.5800331773325643,2654
0.8620644671045037,4108
0.691909578685342,3198
0.11066056379894401,337
0.9580901975861547,4602
0.47659639214862876,2553
0.5772224147582213,2452
0.3707479829161721,1191
0.6523013817753323,2945
0.19727851693944892,672
0.03018468698839928,209
0.22235542924292165,579
0.9598074203089003,4896
0.35114879587713627,845
0.4896822315361038,1184
0.11760582903320675,361
0.8791973386785641,4429
0.5730582159491624,2762
0.6843289564447113,3143
0.6490981035050508,2904
0.18224206207038368,503
0.2798279443320108,756
0.9956668867641814,5512
0.8940070995714273,4486
0.05923783397637657,246
